time,id,x,y,angle,speed,lane
10.6,carflow1_2.0,69.43,-4.8,90.0,14.93,1
10.6,carflow2_1.0,109.32,-1.6,90.0,14.71,2
10.6,carflow2_2.0,68.5,-1.6,90.0,13.02,2
10.7,carflow1_1.0,105.23,-4.8,90.0,14.03,1
10.7,carflow1_2.0,70.92,-4.8,90.0,14.93,1
10.7,carflow2_1.0,110.78,-1.6,90.0,14.64,2
10.7,carflow2_2.0,69.8,-1.6,90.0,12.94,2
10.8,carflow1_1.0,106.63,-4.8,90.0,14.0,1
10.8,carflow1_2.0,72.41,-4.8,90.0,14.93,1
10.8,carflow2_1.0,112.25,-1.6,90.0,14.71,2
10.8,carflow2_2.0,71.09,-1.6,90.0,12.94,2
10.9,carflow1_1.0,108.03,-4.8,90.0,14.02,1
10.9,carflow1_2.0,73.92,-4.8,90.0,15.03,1
10.9,carflow2_1.0,113.71,-1.6,90.0,14.65,2
10.9,carflow2_2.0,72.38,-1.6,90.0,12.91,2
11.0,carflow1_1.0,109.43,-4.8,90.0,14.0,1
11.0,carflow1_2.0,75.41,-4.8,90.0,14.98,1
11.0,carflow2_1.0,115.19,-1.6,90.0,14.71,2
11.0,carflow2_2.0,73.68,-1.6,90.0,12.97,2
11.1,carflow1_1.0,110.83,-4.8,90.0,13.94,1
11.1,carflow1_2.0,76.91,-4.8,90.0,15.0,1
11.1,carflow2_1.0,116.65,-1.6,90.0,14.68,2
11.1,carflow2_2.0,74.97,-1.6,90.0,12.93,2
11.2,carflow1_1.0,112.23,-4.8,90.0,14.03,1
11.2,carflow1_2.0,78.42,-4.8,90.0,15.02,1
11.2,carflow2_1.0,118.12,-1.6,90.0,14.7,2
11.2,carflow2_2.0,76.27,-1.6,90.0,12.96,2
11.3,carflow1_1.0,113.63,-4.8,90.0,14.0,1
11.3,carflow1_2.0,79.92,-4.8,90.0,15.01,1
11.3,carflow2_1.0,119.59,-1.6,90.0,14.64,2
11.3,carflow2_2.0,77.56,-1.6,90.0,12.97,2
11.4,carflow1_1.0,115.03,-4.8,90.0,14.03,1
11.4,carflow1_2.0,81.41,-4.8,90.0,14.97,1
11.4,carflow2_1.0,121.06,-1.6,90.0,14.7,2
11.4,carflow2_2.0,78.86,-1.6,90.0,12.94,2
11.5,carflow1_1.0,116.42,-4.8,90.0,13.92,1
11.5,carflow1_2.0,82.92,-4.8,90.0,15.01,1
11.5,carflow2_1.0,122.52,-1.6,90.0,14.67,2
11.5,carflow2_2.0,80.15,-1.6,90.0,12.91,2
11.6,carflow1_1.0,117.82,-4.8,90.0,13.93,1
11.6,carflow1_2.0,84.41,-4.8,90.0,14.95,1
11.6,carflow2_1.0,123.98,-1.6,90.0,14.59,2
11.6,carflow2_2.0,81.45,-1.6,90.0,13.0,2
11.7,carflow1_1.0,119.21,-4.8,90.0,13.95,1
11.7,carflow1_2.0,85.9,-4.8,90.0,14.91,1
11.7,carflow2_1.0,125.46,-1.6,90.0,14.72,2
11.7,carflow2_2.0,82.75,-1.6,90.0,13.02,2
11.8,carflow1_1.0,120.61,-4.8,90.0,13.96,1
11.8,carflow1_2.0,87.4,-4.8,90.0,14.94,1
11.8,carflow2_1.0,126.93,-1.6,90.0,14.71,2
11.8,carflow2_2.0,84.05,-1.6,90.0,12.97,2
11.9,carflow1_1.0,122.0,-4.8,90.0,13.94,1
11.9,carflow1_2.0,88.9,-4.8,90.0,15.04,1
11.9,carflow2_1.0,128.39,-1.6,90.0,14.59,2
11.9,carflow2_2.0,85.34,-1.6,90.0,12.94,2
12.0,carflow1_1.0,123.41,-4.8,90.0,14.03,1
12.0,carflow1_2.0,90.4,-4.8,90.0,15.03,1
12.0,carflow2_1.0,129.85,-1.6,90.0,14.61,2
12.0,carflow2_2.0,86.64,-1.6,90.0,12.96,2
12.1,carflow1_1.0,124.81,-4.8,90.0,14.0,1
12.1,carflow1_2.0,91.91,-4.8,90.0,15.03,1
12.1,carflow2_1.0,131.31,-1.6,90.0,14.63,2
12.1,carflow2_2.0,87.94,-1.6,90.0,13.0,2
